categories,subGranted,description,referredProduct,internal,daysGranted,permissions,shards,recruitUpgraded,billingstatementidentifier,activationKeyPrefix,taxClassification,alvl,prerequisites,dependent,name,xboxOfferID,prices,subCategory,itemID,xboxContentID,expireDays,reqsubs,keyValueChanges,recruitBilled,billingsync,Column1,Column2,Column3,Column4,Column5,Column6
pc-sto-web,S-STO,Star Trek Online Lifetime,,StarTrek,0,,"Live,STOLifetime",,,,4,0,STO-PRD-LifetimePO-DE &gt; 0,,PRD-STO-R-LifetimePO-DE,0,174.99 EUR,,,0,0,,"ST.IgnoreLoginQueue = 1,PRD-STO-R-LifetimePO = 1, ST.Species.KE_BorgLiberated_Male=1, ST.Species.SF_BorgLiberated_Male=1, ST.ExtraCharacterSlots+=2",,,"loc:""fr"":""Star Trek Online Lifetime Subscription"":"" ""","loc:""en-US"":""Star Trek Online Lifetime Subscription"":"" ""","loc:""de"":""Star Trek Online Lifetime Subscription"":"" """,,,
pc-sto-web,S-STO,Employee STO Lifetime,,StarTrek,0,token: retail;XMPPAccess: 1,Live,,,,0,0,,,PRD-STO-E-Lifetime,0,,,,0,0,S-STO,"ST.Species.SF_TrillAncient_Male = 1, ST.Species.KE_BorgLiberated_Male=1, ST.Species.SF_BorgLiberated_Male=1,ST.IgnoreLoginQueue = 1, ST.ExtraCharacterSlots+=2, PRD-STO-M-FI-KlingonBorgBridgeOfficer = 1, PRD-STO-M-FI-FedBorgBridgeOfficer = 1,  PRD-STO-M-EM-BloodwineEmote = 1, PRD-STO-M-EM-KahnEmote = 1, PRD-STO-M-FI-UssEnterprise = 1, PRD-STO-M-CP-NXPrefix = 1, PRD-STO-M-FI-BonusSkillPoints = 1, PRD-STO-M-FI-NeodymiumDeflector = 1, PRD-STO-M-FI-TR116Phaser = 1, PRD-STO-M-PT-Targ = 1, PRD-STO-M-PT-Tribble = 1,PRD-STO-M-FI-AutomatedDefenseBattery = 1,PRD-STO-M-FI-PersonalShield = 1, PRD-STO-M-FI-ChromArmor = 1,PRD-STO-M-FI-RedMatterCapacitor = 1, PRD-STO-M-FI-PetShuttle = 1, ST.Costume.Promotion_Costume_Ds9_Male_01= 1, ST.Costume.Promotion_Costume_Ds9_Female_01= 1, ST.Costume.Promotion_Costume_Tng_Tv_Male_01= 1, ST.Costume.Promotion_Costume_Tng_Tv_Female_01 = 1, ST.Costume.Promotion_Costume_Tos_Male_01=1, ST.Costume.Promotion_Costume_Tos_Female_01=1, ST.Costume.Promotion_Costume_Tos_Mirror_Male_01=1, ST.Costume.Promotion_Costume_Twok_Male_01=1, ST.Costume.Promotion_Costume_Twok_Female_01=1, ST.Costume.Promotion_Costume_Twok_Female_02=1, ST.Costume.Promotion_Costume_Twok_Male_02=1, ST.Species.SF_Klingon_Male = 1, ST.Species.SF_Ferengi_Male = 1",,,"loc:""de"":""Star Trek Online Lifetime Employee Account"":"" ""","loc:""en-US"":""Star Trek Online Lifetime Employee Account"":"" ""","loc:""fr"":""Star Trek Online Lifetime Employee Account"":"" """,,,
pc-sto-web-cs,S-STO,Lifetime Preorder for CS use,,StarTrek,0,token: retail,Live,,,,4,0,,,PRD-STO-CS-LifetimePO,0,"239.99 USD, 251.99 CAD, 153.99 GBP, 174.99 EUR, 1299.99 DKK",sc-sto-web,,0,0,S-STO,"ST.IgnoreLoginQueue = 1,PRD-STO-R-LifetimePO = 1, ST.Species.KE_BorgLiberated_Male=1, ST.Species.SF_BorgLiberated_Male=1, ST.ExtraCharacterSlots+=2",,,"loc:""de"":""Star Trek Online Lifetime Subscription"":"" ""","loc:""en-US"":""Star Trek Online Lifetime Subscription"":"" ""","loc:""fr"":""Star Trek Online Lifetime Subscription"":"" """,,,
pc-sto-web,,Lifetime with Retail for VIPs,,StarTrek,0,token: retail,Live,,,,0,0,,,PRD-STO-PR-Lifetime,0,,,,0,0,,"ST.Species.SF_TrillAncient_Male = 1, ST.Species.KE_BorgLiberated_Male=1, ST.Species.SF_BorgLiberated_Male=1,ST.IgnoreLoginQueue = 1, ST.ExtraCharacterSlots+=2, PRD-STO-M-FI-KlingonBorgBridgeOfficer = 1, PRD-STO-M-FI-FedBorgBridgeOfficer = 1,  PRD-STO-M-EM-BloodwineEmote = 1, PRD-STO-M-EM-KahnEmote = 1, PRD-STO-M-FI-UssEnterprise = 1, PRD-STO-M-CP-NXPrefix = 1, PRD-STO-M-FI-BonusSkillPoints = 1, PRD-STO-M-FI-NeodymiumDeflector = 1, PRD-STO-M-FI-TR116Phaser = 1, PRD-STO-M-PT-Targ = 1, PRD-STO-M-PT-Tribble = 1,PRD-STO-M-FI-AutomatedDefenseBattery = 1,PRD-STO-M-FI-PersonalShield = 1, PRD-STO-M-FI-ChromArmor = 1,PRD-STO-M-FI-RedMatterCapacitor = 1, PRD-STO-M-FI-PetShuttle = 1, ST.Costume.Promotion_Costume_Ds9_Male_01= 1, ST.Costume.Promotion_Costume_Ds9_Female_01= 1, ST.Costume.Promotion_Costume_Tng_Tv_Male_01= 1, ST.Costume.Promotion_Costume_Tng_Tv_Female_01 = 1, ST.Costume.Promotion_Costume_Tos_Male_01=1, ST.Costume.Promotion_Costume_Tos_Female_01=1, ST.Costume.Promotion_Costume_Tos_Mirror_Male_01=1, ST.Costume.Promotion_Costume_Twok_Male_01=1, ST.Costume.Promotion_Costume_Twok_Female_01=1, ST.Costume.Promotion_Costume_Twok_Female_02=1, ST.Costume.Promotion_Costume_Twok_Male_02=1, ST.Species.SF_Klingon_Male = 1, ST.Species.SF_Ferengi_Male = 1",,,"loc:""de"":""Star Trek Online"":"" ""","loc:""en-US"":""Star Trek Online"":"" ""","loc:""fr"":""Star Trek Online"":"" """,,,
pc-sto-web,S-STO,Star Trek Online  - Lifetime,,StarTrek,0,token: retail,Live,,,,4,0,,,PRD-STO-R-Lifetime,0,"299.99 USD, 343.74 CAD, 192.49 GBP, 218.74 EUR, 1625.00 DKK",,,0,0,,"ST.IgnoreLoginQueue = 1,PRD-STO-R-Lifetime = 1",,,"loc:""de"":""Startrek Online Lifetime Subscription"":"" ""","loc:""en-US"":""Startrek Online Lifetime Subscription"":"" ""","loc:""fr"":""Startrek Online Lifetime Subscription"":"" """,,,
pc-sto-web-po,S-STO,Star Trek Online Lifetime,,StarTrek,0,,STOLifetime,,,,4,0,,,PRD-STO-R-LifetimePO,0,,,,0,0,,"ST.IgnoreLoginQueue = 1,PRD-STO-R-LifetimePO = 1, ST.Species.KE_BorgLiberated_Male=1, ST.Species.SF_BorgLiberated_Male=1, ST.ExtraCharacterSlots+=2",,,"loc:""de"":""Star Trek Online Lifetime Subscription"":"" ""","loc:""en-US"":""Star Trek Online Lifetime Subscription"":"" ""","loc:""fr"":""Star Trek Online Lifetime Subscription"":"" """,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"STOLifetime = 1,",,,,,,,,,,,,,,,,
